date,document_type,eo_number,title,president,party,iso,country,China?
15.01.68,Executive Order,11388,Designation of Officers of the Department of Commerce to Act as Secretary of Commerce,Lyndon B. Johnson,Democrat,CN,China,
23.10.67,Executive Order,11377,Providing for Tariff Commission Reports Regarding the Estimated Consumption of Certain Brooms,Lyndon B. Johnson,Democrat,CN,China,
"1967-05-22,Executive Order,11351,""Amending Executive Order No. 11318, Designating the European Space Research Organization as a Public International Organization"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
30.03.67,Executive Order,11340,Effective Date of Department of Transportation Act,Lyndon B. Johnson,Democrat,CN,China,
"1966-12-09,Executive Order,11319,""Amending Executive Order No. 10707, Establishing a Seal For the United States Coast Guard"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
"1966-09-12,Executive Order,11303,""Modifying Executive Order No. 9721, as Amended by Executive Order No. 10103, Providing For the Transfer of Personnel to Certain International Organizations"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
"1966-07-21,Executive Order,11290,""Amending Executive Order No. 11230, Delegating Certain Functions of the President to the Director of the Bureau of the Budget"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
"1966-06-10,Executive Order,11286,""Designating the Department of Commerce as the Department Through Which the United States Shall Participate in the Inter-American Cultural and Trade Center in Dade County, Florida"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
31.03.66,Executive Order,11275,Amending Executive Order No. 11230 Delegating Certain Functions of the President to the Director of the Bureau of the Budget,Lyndon B. Johnson,Democrat,CN,China,
30.03.66,Executive Order,11274,Providing that Certain Officers May Act as Secretary of Housing and Urban Development,Lyndon B. Johnson,Democrat,CN,China,
13.12.65,Executive Order,11262,Placing Additional Positions in Levels IV and V of the Federal Executive Salary Schedule,Lyndon B. Johnson,Democrat,CN,China,
"1965-12-11,Executive Order,11261,""Amending Executive Order No. 10973 of November 3, 1961, Providing for the Administration of Foreign Assistance and Related Functions"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
14.06.65,Executive Order,11229,Participation in the International Coffee Organization,Lyndon B. Johnson,Democrat,CN,China,
"1965-05-27,Executive Order,11226,""Amending Executive Order No. 10358, Relating to the Observance of Holidays by Government Agencies"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
04.01.65,Executive Order,11191,Providing for the Carrying Out of Certain Provisions of the Communications Satellite Act of 1962,Lyndon B. Johnson,Democrat,CN,China,
"1964-06-23,Executive Order,11159,""Amendment of Executive Order No. 11143, Relating to the Public Advisory Committee for Trade Negotiations"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
26.02.63,Executive Order,11088,Assigning Emergency Preparedness Functions to the Secretary of the Treasury,John F. Kennedy,Demcrat,CN,China,
"1963-02-15,Executive Order,11084,""Amending Executive Order No. 10995, Relating to Telecommunications"",John F. Kennedy,Demcrat,CN,China,",,,,,,,,
14.09.62,Executive Order,11049,Providing for the Carrying Out of the Public Works Acceleration Act,John F. Kennedy,Demcrat,CN,China,
20.08.62,Executive Order,11044,Interagency Coordination of Arms Control and Disarmament Matters,John F. Kennedy,Demcrat,CN,China,
"1962-07-23,Executive Order,11038,""Continuing in Effect Executive Order No. 10945 of May 24, 1961, Relating to the Administration of the Export Control Act of 1949, as Amended"",John F. Kennedy,Demcrat,CN,China,",,,,,,,,
16.02.62,Executive Order,11004,Assigning Certain Emergency Preparedness Functions to the Housing and Home Finance Administrator,John F. Kennedy,Demcrat,CN,China,
27.10.61,Executive Order,10970,Delegating Certain Authority of the President to Establish Maximum Per Diem Rates for Government Personnel in Travel Status,John F. Kennedy,Demcrat,CN,China,
"1961-05-19,Executive Order,10942,""Amendment of Executive Order No. 10849, Establishing a Seal for the National Aeronautics and Space Administration"",John F. Kennedy,Demcrat,CN,China,",,,,,,,,
15.05.61,Executive Order,10941,Designation of Certain Officers to Act as Secretary of the Treasury,John F. Kennedy,Demcrat,CN,China,
21.01.61,Executive Order,10914,Providing for an Expanded Program of Food Distribution to Needy Families,John F. Kennedy,Demcrat,CN,China,
09.01.61,Executive Order,10902,Providing for the Issuance of Emergency Preparedness Orders by the Director of the Office of Civil and Defense Mobilization,Dwight D. Eisenhower,Republican,CN,China,
"1960-07-18,Executive Order,10882,""Further Amendment of Executive Order No. 10289, Relating to the Performance of Certain Functions Affecting the Department of the Treasury"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
"1957-07-11,Executive Order,10720,""Amendment of Executive Order No. 10678, Placing Certain Matters Under the Administration or Jurisdiction of the Federal Facilities Corporation"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
17.04.57,Executive Order,10705,Delegations of Certain Authority of the President Relating to Radio Stations and Communications,Dwight D. Eisenhower,Republican,CN,China,
"1956-11-01,Executive Order,10686,""Amendment of Executive Order No. 10154, Designating Certain Officers of the Post Office Department To Act as Postmaster General"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
"1956-03-13,Executive Order,10662,""Amendment of Executive Order No. 10480 and Revocation of Executive Order No. 10160, Relating to the Administration of the Defense Production Act of 1950"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
"1955-08-25,Executive Order,10634,""Providing for Loans To Aid in the Reconstruction, Rehabilitation and Replacement of Facilities Which Are Destroyed or Damaged by a Major Disaster and Which Are Required for National Defense"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
"1955-08-19,Executive Order,10633,""Establishing an Airspace Reservation Over the Las Vegas Project, Las Vegas, Nevada"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
"1955-01-27,Executive Order,10593,""Amending Executive Order No. 10296, as Amended, To Authorize the Director of the Office of Defense Mobilization To Perform Additional Functions of the President"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
13.01.55,Executive Order,10586,Designating Certain Officers To Act as Secretary of the Treasury,Dwight D. Eisenhower,Republican,CN,China,
05.11.54,Executive Order,10574,Amendment of Executive Order No. 10480 Providing for the Administration of the Defense Mobilization Program,Dwight D. Eisenhower,Republican,CN,China,
"1954-09-08,Executive Order,10558,""Amendment of Executive Order No. 10154, Designating Certain Officers of the Post Office Department To Act as Postmaster General"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
18.08.54,Executive Order,10553,Amending Executive Order No. 10539 With Respect to the Administration of the Abaca Production Act of 1950,Dwight D. Eisenhower,Republican,CN,China,
"1953-12-01,Executive Order,10504,""Transferring Certain Functions, Powers, and Duties to the Small Business Administration"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
14.10.53,Executive Order,10493,Delegating Certain Functions of the President to the Administrator of the Small Business Administration,Dwight D. Eisenhower,Republican,CN,China,
14.10.53,Executive Order,10494,Disposition of Functions Remaining Under Title IV of the Defense Production Act,Dwight D. Eisenhower,Republican,CN,China,
"1953-09-26,Executive Order,10489,""Providing for the Administration of Certain Loan and Loan Guarantee Functions Under the Defense Production Act of 1950, as Amended"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
15.08.53,Executive Order,10482,Providing for an Additional Member of the Government Contract Committee,Dwight D. Eisenhower,Republican,CN,China,
15.08.53,Executive Order,10481,Designation of Certain Officers of the Department of Agriculture To Act as Secretary of Agriculture,Dwight D. Eisenhower,Republican,CN,China,
14.08.53,Executive Order,10480,Further Providing for the Administration of the Defense Mobilization Program,Dwight D. Eisenhower,Republican,CN,China,
"1953-07-31,Executive Order,10475,""Administration of the Housing and Rent Act of 1947, as Amended"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
"1953-06-30,Executive Order,10467,""Further Providing for the Administration of the Defense Production Act of 1950, as Amended"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
19.06.53,Executive Order,10462,Delegation of Certain Functions of the President to the Housing and Home Finance Administrator,Dwight D. Eisenhower,Republican,CN,China,
16.06.53,Executive Order,10460,Providing for the Performance by the Director of Defense Mobilization of Certain Functions Relating to Telecommunications,Dwight D. Eisenhower,Republican,CN,China,
27.05.53,Executive Order,10456,Delegating to Secretary of Defense and the Director of Defense Mobilization Certain Functions Relating to Critical Defense Housing Areas,Dwight D. Eisenhower,Republican,CN,China,
17.04.53,Executive Order,10446,Specification of Laws From Which the Escapee Program Administered by the Department of State Shall Be Exempt,Dwight D. Eisenhower,Republican,CN,China,
"1953-02-06,Executive Order,10434,""Suspension of Wage and Salary Controls Under the Defense Production Act of 1950, as Amended"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
"1953-02-04,Executive Order,10433,""Further Providing for the Administration of the Defense Production Act of 1950, as Amended"",Dwight D. Eisenhower,Republican,CN,China,",,,,,,,,
14.11.52,Executive Order,10410,Specification of Laws from Which the Escapee Program Administered by the Department of State Shall Be Exempt,Harry S. Truman,Democrat,CN,China,
18.09.52,Executive Order,10396,Establishing a Seal for the Small Defense Plants Administration,Harry S. Truman,Democrat,CN,China,
"1952-09-03,Executive Order,10391,""Amendment of Executive Order No. 10011, of October 22, 1948, as Amended, Authorizing the Secretary of State to Exercise, Ceertain Powers of Th President with Respect to the Granting of Allowances and Allotments to Government Personnel on Foreign Duty"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
16.08.52,Executive Order,10385,Extension of Time Relating to the Removal of Certain Temporary Housing,Harry S. Truman,Democrat,CN,China,
07.07.52,Executive Order,10370,Delegating Certain Authority of the President to the Small Defense Plants Administrator,Harry S. Truman,Democrat,CN,China,
"1952-06-09,Executive Order,10359,""Amending Executive Order No. 10161, as Amended, with Respect to Certain Plant Fibers"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
26.05.52,Executive Order,10355,Delegating to the Secretary of the Interior the Authority of the President to Withdraw or Reserve Lands of the United States for Public Purposes,Harry S. Truman,Democrat,CN,China,
26.04.52,Executive Order,10348,Continuing in Force Orders and Regulations Relating to Blocked Property,Harry S. Truman,Democrat,CN,China,
05.04.52,Executive Order,10339,Extensions of Time Relating to the Disposition of Certain Housing,Harry S. Truman,Democrat,CN,China,
20.02.52,Executive Order,10327,Investigations Relating to the Conduct of Government Business,Harry S. Truman,Democrat,CN,China,
05.02.52,Executive Order,10323,Transferring Certain Functions and Delegating Certain Powers to the Small Defense Plants Administration,Harry S. Truman,Democrat,CN,China,
"1951-12-14,Executive Order,10313,""Amendment of Executive Order No. 10011 of October 22, 1948, as Amended, Authorizing the Secretary of State to Exercise Certain Powers of the President with Respect to the Granting of Allowances and Allotments to Government Personnel on Foreign Duty"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
"1951-10-31,Executive Order,10298,""Extending the Provisions of Part I of Executive Order No. 10210 of February 2, 1951, to the Department of the Interior."",Harry S. Truman,Democrat,CN,China,",,,,,,,,
02.10.51,Executive Order,10296,Providing for the Performance of Certain Defense Housing and Community Facilities and Services Functions,Harry S. Truman,Democrat,CN,China,
01.09.51,Executive Order,10284,Extension of Time Relating to the Disposition of Certain Housing,Harry S. Truman,Democrat,CN,China,
"1951-07-31,Executive Order,10276,""Administration of the Housing and Rent Act of 1947, as Amended, and Termination of the Office of the Housing Expediter"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
"1951-03-24,Executive Order,10227,""Extension of the Provisions of Part I of Executive Order No. 10210 of February 2, 1951, to the General Services Administration"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
02.03.51,Executive Order,10221,Providing for the Administration of Disaster Relief,Harry S. Truman,Democrat,CN,China,
25.01.51,Executive Order,10208,Providing for the Administration of the Yugoslav Emergency Relief Assistance Act of 1950,Harry S. Truman,Democrat,CN,China,
16.01.51,Executive Order,10205,Amending Executive Order No. 10182 Relating to the Appointment of Certain Persons Under the Defense Production Act of 1950,Harry S. Truman,Democrat,CN,China,
20.12.50,Executive Order,10197,Directing the Secretary of Commerce to Exercise Security Control Over Aircraft in Flight,Harry S. Truman,Democrat,CN,China,
20.12.50,Executive Order,10195,Designation of Korea and Waters Adjacent Thereto as a Combat Zone for the Purposes of Section 22(b)(13) of the Internal Revenue Code,Harry S. Truman,Democrat,CN,China,
16.12.50,Executive Order,10193,Providing for the Conduct of the Mobilization Effort of the Government,Harry S. Truman,Democrat,CN,China,
"1950-12-04,Executive Order,10187,""Amendment of Executive Order No. 10011 of October 22, 1948, as Amended Authorizing the Secretary of State to Exercise Certain Powers of the President with Respect to the Granting of Allowances and Allotments to Government Personnel on Foreign Duty"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
"1950-10-23,Executive Order,10174,""Further Amendment of Executive Order No. 10084 of October 12, 1949, Prescribing Regulations for the Administration of Certain Provisions of the Career Compensation Act of 1949"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
"1950-10-12,Executive Order,10170,""Amendment of Executive Order No. 10082 of October 5, 1949 Prescribing Procedures for the Administration of the Reciprocal Trade-Agreements Program"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
"1950-08-31,Executive Order,10158,""Further Amendment of Executive Order No. 10084 of October 12, 1949, Prescribing Regulations for the Administration of Certain Provisions of the Career Compensation Act of 1949"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
26.08.50,Executive Order,10156,Designation of Certain Officers of the Department of the Interior to Act as Secretary of the Interior,Harry S. Truman,Democrat,CN,China,
05.08.50,Executive Order,10148,Designation of Certain Officers of the Department of Commerce to Act as Secretary of Commerce,Harry S. Truman,Democrat,CN,China,
"1950-06-30,Executive Order,10136,""Further Amendment of Executive Order No. 10084 of October 12, 1949, Prescribing Regulations for the Administration of Certain Provisions of the Career Compensation Act of 1949"",Harry S. Truman,Democrat,CN,China,",,,,,,,,
27.01.50,Executive Order,10099,Providing for the Administration of the Mutual Defense Assistance Act of 1949,Harry S. Truman,Democrat,CN,China,
